DATE,M1SL,M2SL
1998-02-01,1077.8,4088.9
1998-03-01,1076.9,4114.3
1998-04-01,1076.5,4140.2
1998-05-01,1079.1,4164.4
1998-06-01,1076.3,4184.1
1998-07-01,1075.1,4203.8
1998-08-01,1075.9,4228.7
1998-09-01,1079.9,4267.6
1998-10-01,1086.0,4307.7
1998-11-01,1094.9,4346.4
1998-12-01,1095.0,4375.2
1999-01-01,1098.1,4402.6
1999-02-01,1096.7,4425.3
1999-03-01,1096.6,4432.1
1999-04-01,1101.6,4460.7
1999-05-01,1103.8,4485.3
1999-06-01,1099.8,4507.2
1999-07-01,1099.1,4534.5
1999-08-01,1099.2,4551.7
1999-09-01,1096.5,4567.7
1999-10-01,1103.3,4591.5
1999-11-01,1110.7,4610.5
1999-12-01,1122.2,4638.0
2000-01-01,1122.1,4666.2
2000-02-01,1108.6,4679.4
2000-03-01,1107.5,4710.2
2000-04-01,1115.6,4766.1
2000-05-01,1104.9,4753.9
2000-06-01,1102.6,4771.8
2000-07-01,1103.5,4789.4
2000-08-01,1100.2,4817.5
2000-09-01,1099.7,4853.2
2000-10-01,1098.7,4869.2
2000-11-01,1092.4,4880.1
2000-12-01,1088.6,4924.7
2001-01-01,1096.7,4975.3
2001-02-01,1101.2,5013.5
2001-03-01,1108.9,5071.2
2001-04-01,1116.7,5135.2
2001-05-01,1118.5,5132.2
2001-06-01,1126.2,5172.5
2001-07-01,1138.9,5202.4
2001-08-01,1150.2,5236.3
2001-09-01,1205.7,5347.4
2001-10-01,1165.7,5336.0
2001-11-01,1171.0,5379.6
2001-12-01,1183.2,5432.7
2002-01-01,1190.7,5453.0
2002-02-01,1190.6,5482.4
2002-03-01,1193.3,5494.2
2002-04-01,1186.9,5494.4
2002-05-01,1189.3,5520.6
2002-06-01,1193.3,5545.6
2002-07-01,1199.1,5588.2
2002-08-01,1187.1,5630.6
2002-09-01,1196.1,5655.0
2002-10-01,1204.0,5699.6
2002-11-01,1209.6,5749.7
2002-12-01,1220.2,5770.9
2003-01-01,1227.3,5803.5
2003-02-01,1238.2,5839.5
2003-03-01,1239.3,5860.3
2003-04-01,1250.0,5897.7
2003-05-01,1268.8,5958.0
2003-06-01,1281.0,5994.7
2003-07-01,1287.5,6041.4
2003-08-01,1296.4,6099.5
2003-09-01,1297.2,6071.6
2003-10-01,1297.8,6062.5
2003-11-01,1299.1,6067.7
2003-12-01,1306.2,6065.9
2004-01-01,1306.0,6074.4
2004-02-01,1321.4,6113.2
2004-03-01,1328.7,6149.0
2004-04-01,1332.8,6190.2
2004-05-01,1333.3,6267.0
2004-06-01,1342.7,6269.4
2004-07-01,1340.8,6283.1
2004-08-01,1354.3,6309.2
2004-09-01,1362.5,6343.9
2004-10-01,1362.3,6372.1
2004-11-01,1374.2,6398.7
2004-12-01,1376.0,6417.2
2005-01-01,1367.1,6423.4
2005-02-01,1371.1,6431.8
2005-03-01,1370.9,6440.8
2005-04-01,1358.4,6454.7
2005-05-01,1366.0,6472.0
2005-06-01,1380.1,6504.4
2005-07-01,1369.0,6536.0
2005-08-01,1377.8,6568.7
2005-09-01,1378.6,6602.9
2005-10-01,1376.5,6637.0
2005-11-01,1376.1,6653.4
2005-12-01,1374.3,6680.1
2006-01-01,1379.5,6722.5
2006-02-01,1378.4,6746.8
2006-03-01,1383.2,6761.1
2006-04-01,1381.4,6798.5
2006-05-01,1387.2,6805.2
2006-06-01,1375.4,6843.2
2006-07-01,1372.4,6884.6
2006-08-01,1372.4,6915.4
2006-09-01,1364.4,6942.6
2006-10-01,1370.3,6991.6
2006-11-01,1370.8,7026.5
2006-12-01,1366.6,7069.5
2007-01-01,1371.7,7107.4
2007-02-01,1363.0,7123.2
2007-03-01,1366.5,7156.9
2007-04-01,1378.0,7229.3
2007-05-01,1380.9,7243.2
2007-06-01,1368.2,7276.3
2007-07-01,1371.8,7306.6
2007-08-01,1376.3,7382.8
2007-09-01,1375.7,7401.1
2007-10-01,1379.4,7414.8
2007-11-01,1371.8,7439.6
2007-12-01,1373.4,7469.4
2008-01-01,1377.7,7503.1
2008-02-01,1380.4,7587.6
2008-03-01,1388.7,7653.3
2008-04-01,1391.4,7696.1
2008-05-01,1393.4,7708.3
2008-06-01,1404.6,7725.8
2008-07-01,1421.1,7772.1
2008-08-01,1407.4,7787.0
2008-09-01,1462.0,7856.5
2008-10-01,1473.8,7963.1
2008-11-01,1514.6,8013.5
2008-12-01,1601.7,8189.7
2009-01-01,1582.8,8271.2
2009-02-01,1567.2,8300.5
2009-03-01,1578.9,8366.5
2009-04-01,1611.6,8369.9
2009-05-01,1617.5,8427.6
2009-06-01,1658.8,8437.2
2009-07-01,1662.5,8442.0
2009-08-01,1660.0,8441.8
2009-09-01,1664.9,8441.1
2009-10-01,1677.7,8468.1
2009-11-01,1683.0,8498.2
2009-12-01,1692.8,8493.1
2010-01-01,1674.7,8455.4
2010-02-01,1699.8,8505.1
2010-03-01,1711.9,8502.2
2010-04-01,1699.0,8532.8
2010-05-01,1710.1,8587.7
2010-06-01,1731.6,8606.7
2010-07-01,1724.0,8616.3
2010-08-01,1748.7,8666.7
2010-09-01,1766.2,8697.8
2010-10-01,1780.4,8746.9
2010-11-01,1828.4,8767.7
2010-12-01,1836.7,8799.4
2011-01-01,1846.3,8820.4
2011-02-01,1870.1,8884.2
2011-03-01,1896.5,8940.6
2011-04-01,1897.0,9002.1
2011-05-01,1941.6,9072.7
2011-06-01,1963.4,9148.4
2011-07-01,1996.0,9313.8
2011-08-01,2115.4,9505.0
2011-09-01,2120.0,9525.8
2011-10-01,2128.5,9559.5
2011-11-01,2182.0,9610.1
2011-12-01,2165.7,9657.7
2012-01-01,2197.6,9731.5
2012-02-01,2209.8,9789.3
2012-03-01,2232.4,9837.1
2012-04-01,2244.2,9889.9
2012-05-01,2260.3,9934.6
2012-06-01,2281.7,9998.1
2012-07-01,2313.6,10055.3
2012-08-01,2350.9,10115.2
2012-09-01,2382.4,10193.1
2012-10-01,2415.2,10256.5
2012-11-01,2435.9,10319.8
2012-12-01,2459.4,10451.5
2013-01-01,2471.6,10477.0
2013-02-01,2474.0,10489.1
2013-03-01,2482.1,10555.8
2013-04-01,2513.2,10590.3
2013-05-01,2531.9,10630.1
2013-06-01,2532.6,10682.5
2013-07-01,2541.8,10728.9
2013-08-01,2553.7,10783.5
2013-09-01,2581.1,10835.3
2013-10-01,2620.0,10948.7
2013-11-01,2630.5,10954.1
2013-12-01,2662.9,11020.3
2014-01-01,2696.6,11076.6
2014-02-01,2728.4,11169.3
2014-03-01,2755.1,11207.6
2014-04-01,2777.7,11259.8
2014-05-01,2794.3,11326.3
2014-06-01,2829.5,11377.2
2014-07-01,2840.0,11434.0
2014-08-01,2803.6,11462.9
2014-09-01,2861.4,11496.7
2014-10-01,2868.3,11558.6
2014-11-01,2886.3,11594.7
2014-12-01,2939.4,11674.0
2015-01-01,2941.0,11743.9
2015-02-01,3009.3,11871.7
2015-03-01,3002.2,11888.1
2015-04-01,3001.4,11927.6
2015-05-01,2983.7,11957.9
2015-06-01,3020.5,12002.9
2015-07-01,3038.0,12052.0
2015-08-01,3028.4,12100.6
2015-09-01,3043.0,12154.6
2015-10-01,3017.0,12192.5
2015-11-01,3081.2,12277.0
2015-12-01,3096.3,12340.1
2016-01-01,3099.9,12471.4
2016-02-01,3133.4,12552.3
2016-03-01,3157.2,12616.6
2016-04-01,3199.2,12697.0
2016-05-01,3237.3,12763.7
2016-06-01,3244.1,12830.6
2016-07-01,3242.5,12889.1
2016-08-01,3315.7,12968.2
2016-09-01,3322.6,13027.4
2016-10-01,3330.3,13099.7
2016-11-01,3354.7,13174.1
2016-12-01,3345.4,13214.2
2017-01-01,3398.2,13288.7
2017-02-01,3411.3,13359.2
2017-03-01,3456.2,13428.6
2017-04-01,3450.1,13486.6
2017-05-01,3512.8,13537.3
2017-06-01,3520.9,13564.7
2017-07-01,3541.8,13621.8
2017-08-01,3580.3,13671.4
2017-09-01,3563.4,13714.4
2017-10-01,3601.2,13767.6
2017-11-01,3631.9,13802.4
2017-12-01,3618.9,13854.8
2018-01-01,3668.4,13872.0
