DATE,PCEPI_NBD19820101
2010-11-01,207.63709
2010-12-01,208.10700
2011-01-01,208.73211
2011-02-01,209.31411
2011-03-01,210.15692
2011-04-01,211.04501
2011-05-01,211.68736
2011-06-01,211.64425
2011-07-01,212.00422
2011-08-01,212.50216
2011-09-01,212.80178
2011-10-01,212.80609
2011-11-01,213.24366
2011-12-01,213.36437
2012-01-01,214.09510
2012-02-01,214.57363
2012-03-01,214.98319
2012-04-01,215.26556
2012-05-01,215.02414
2012-06-01,214.91636
2012-07-01,214.99396
2012-08-01,215.71607
2012-09-01,216.37136
2012-10-01,217.01371
2012-11-01,216.86713
2012-12-01,216.83264
2013-01-01,217.25082
2013-02-01,218.04621
2013-03-01,217.75953
2013-04-01,217.58924
2013-05-01,217.73151
2013-06-01,218.20141
2013-07-01,218.47301
2013-08-01,218.80928
2013-09-01,218.89550
2013-10-01,219.26625
2013-11-01,219.60898
2013-12-01,220.04656
2014-01-01,220.46474
2014-02-01,220.59407
2014-03-01,221.03595
2014-04-01,221.46491
2014-05-01,221.84644
2014-06-01,222.09648
2014-07-01,222.43059
2014-08-01,222.40257
2014-09-01,222.45861
2014-10-01,222.40257
2014-11-01,222.23228
2014-12-01,221.89171
2015-01-01,220.86782
2015-02-01,221.23211
2015-03-01,221.65675
2015-04-01,221.82704
2015-05-01,222.35730
2015-06-01,222.78841
2015-07-01,222.97163
2015-08-01,222.97379
2015-09-01,222.64399
2015-10-01,222.61166
2015-11-01,222.74746
2015-12-01,222.56639
2016-01-01,222.68063
2016-02-01,222.54268
2016-03-01,223.05785
2016-04-01,223.79505
2016-05-01,224.12700
2016-06-01,224.55380
2016-07-01,224.64649
2016-08-01,224.98276
2016-09-01,225.37291
2016-10-01,225.87084
2016-11-01,225.95706
2016-12-01,226.36877
2017-01-01,227.21590
2017-02-01,227.41421
2017-03-01,227.29781
2017-04-01,227.90998
2017-05-01,227.84747
2017-06-01,228.09536
2017-07-01,228.15141
2017-08-01,228.64718
2017-09-01,229.60855
2017-10-01,229.97931
2017-11-01,230.38455
2017-12-01,230.63244
2018-01-01,231.40628
2018-02-01,231.88050
2018-03-01,232.24694
2018-04-01,232.81600
2018-05-01,233.23633
2018-06-01,233.53380
2018-07-01,233.71918
2018-08-01,233.85713
2018-09-01,234.35075
2018-10-01,234.84006
2018-11-01,235.00388
2018-12-01,234.93275
2019-01-01,234.80341
2019-02-01,235.03190
2019-03-01,235.67210
2019-04-01,236.59036
2019-05-01,236.73694
2019-06-01,236.93740
2019-07-01,237.26936
2019-08-01,237.39653
2019-09-01,237.57329
2019-10-01,238.14235
2019-11-01,238.33420
2019-12-01,238.81057
2020-01-01,239.26970
2020-02-01,239.41843
2020-03-01,238.83859
2020-04-01,237.56898
2020-05-01,237.93973
2020-06-01,239.08864
2020-07-01,239.74177
2020-08-01,240.47896
2020-09-01,240.85187
2020-10-01,240.93594
2020-11-01,240.96827
2020-12-01,241.89515
2021-01-01,242.64959
2021-02-01,243.31350
2021-03-01,244.69305
2021-04-01,246.08984
2021-05-01,247.40041
2021-06-01,248.71745
2021-07-01,249.74133
